index,simplified,traditional,pinyin,definition,examples,hsk_level,traditional_variants,radical_index,pinyin2,pinyin3,numbered_pinyin,numbered_pinyin2,numbered_pinyin3
659,约,約,yuē,"[""to make an appointment"",""to invite"",""approximately""]","[{""chinese"":""去纽约吧！"",""english"":""Let's take a trip to New York.""},{""chinese"":""她住在纽约。"",""english"":""She lives in New York.""},{""chinese"":""汤姆有预约。"",""english"":""Tom has a reservation.""}]",3,,120,,,yue1,,
660,保,保,bǎo,"[""to safeguard"",""to protect"",""to defend"",""to care for""]","[{""chinese"":""保重。"",""english"":""Take care.""},{""chinese"":""保持安静"",""english"":""Keep it quiet.""},{""chinese"":""请保密。"",""english"":""Keep it secret, please.""}]",3,,9,,,bao3,,
661,转,轉,zhuǎn,"[""to move"",""to convey"",""to turn"",""to revolve"",""to circle"",""to forward mail""]","[{""chinese"":""向左转。"",""english"":""Turn left.""},{""chinese"":""向右转。"",""english"":""Turn right.""},{""chinese"":""转过来。"",""english"":""Turn around.""}]",3,,159,,,zhuan3,,
662,突,突,tū,"[""to dash"",""to move forward quickly"",""to bulge""]","[{""chinese"":""我门牙突出。"",""english"":""My front teeth stick out.""},{""chinese"":""灯突然灭了。"",""english"":""The light suddenly went out.""},{""chinese"":""灯突然灭了。"",""english"":""Suddenly, the light went out.""}]",3,,116,,,tu1,,
663,终,終,zhōng,"[""end"",""finally"",""in the end""]","[{""chinese"":""她终生未婚。"",""english"":""She remained single all her life.""},{""chinese"":""最终，他来了。"",""english"":""At last, he came.""},{""chinese"":""汤姆终于停了。"",""english"":""Tom finally stopped.""}]",3,,120,,,zhong1,,
664,联,聯,lián,"[""ally"",""associate"",""to connect"",""to join""]","[{""chinese"":""联系我。"",""english"":""Call me.""},{""chinese"":""联系我们。"",""english"":""Call us.""},{""chinese"":""请联系我们。"",""english"":""Please contact us.""}]",3,,128,,,lian2,,
665,指,指,zhǐ,"[""finger"",""toe"",""to point"",""to indicate""]","[{""chinese"":""別指望湯姆。"",""english"":""Don't count on Tom.""},{""chinese"":""我指望你了。"",""english"":""I am counting on you.""},{""chinese"":""我会听从指示。"",""english"":""I will obey.""}]",3,,64,,,zhi3,,
666,标,標,biāo,"[""mark"",""sign"",""symbol"",""bid"",""prize""]","[{""chinese"":""她达到了目标。"",""english"":""She has achieved her goals.""},{""chinese"":""游艇绕浮标航行。"",""english"":""The yacht sailed around a buoy.""},{""chinese"":""你们的目标变了吗？"",""english"":""Have your goals changed?""}]",3,,75,,,biao1,,
667,拍,拍,pāi,"[""to clap"",""to tap"",""to hit"",""to beat"",""to slap"",""beat""]","[{""chinese"":""我拍手。"",""english"":""I clapped.""},{""chinese"":""我拍手。"",""english"":""I clapped my hands.""},{""chinese"":""湯姆拍了手。"",""english"":""Tom clapped.""}]",3,,64,,,pai1,,
668,金,金,jīn,"[""gold"",""chemical element Au"",""generic term for lustrous and ductile metals""]","[{""chinese"":""金钱万能。"",""english"":""Money talks.""},{""chinese"":""金钱万能。"",""english"":""Money rules the world.""},{""chinese"":""金钱万能。"",""english"":""Money makes the world go round.""}]",3,,167,,,jin1,,
669,管,管,guǎn,"[""tube"",""pipe"",""duct"",""to manage"",""to control""]","[{""chinese"":""不管它。"",""english"":""Skip it.""},{""chinese"":""不要管我。"",""english"":""Don't mind me.""},{""chinese"":""尽管提问。"",""english"":""Feel free to ask any questions.""}]",3,,118,,,guan3,,
670,根,根,gēn,"[""root"",""basis"",""classifier for long slender objects, e.g. cigarettes, guitar strings""]","[{""chinese"":""我根本不累。"",""english"":""I'm not at all tired.""},{""chinese"":""我根本不累。"",""english"":""I'm not tired at all.""},{""chinese"":""我根本不信。"",""english"":""I don't believe it at all.""}]",3,,75,,,gen1,,
671,容,容,róng,"[""appearance"",""looks"",""form"",""figure"",""to contain"",""to hold""]","[{""chinese"":""可不容易。"",""english"":""It hasn't been easy.""},{""chinese"":""游泳很容易。"",""english"":""Swimming is easy.""},{""chinese"":""第二课容易。"",""english"":""Lesson Two is easy.""}]",3,,40,,,rong2,,
672,易,易,yì,"[""to change"",""to exchange"",""to trade"",""simple"",""easy""]","[{""chinese"":""可不容易。"",""english"":""It hasn't been easy.""},{""chinese"":""知易行难。"",""english"":""It's one thing to make plans, but quite another to carry them out.""},{""chinese"":""游泳很容易。"",""english"":""Swimming is easy.""}]",3,,72,,,yi4,,
673,程,程,chéng,"[""process"",""rules"",""journey"",""trip"",""agenda"",""schedule""]","[{""chinese"":""她是程序员。"",""english"":""She is a computer programmer.""},{""chinese"":""更新應用程式。"",""english"":""Update the app.""},{""chinese"":""我會載你一程。"",""english"":""I'll give you a ride.""}]",3,,115,,,cheng2,,
674,建,建,jiàn,"[""to build"",""to erect"",""to establish"",""to found""]","[{""chinese"":""路正在建。"",""english"":""The road is under construction.""},{""chinese"":""这是谁建的？"",""english"":""Who built it?""},{""chinese"":""桥在建造中。"",""english"":""The bridge is under construction.""}]",3,,54,,,jian4,,
675,议,議,yì,"[""to consult"",""to talk over"",""to criticize"",""to discuss""]","[{""chinese"":""会议结束了。"",""english"":""The meeting ended.""},{""chinese"":""会议取消了。"",""english"":""The meeting was called off.""},{""chinese"":""会议怎么样？"",""english"":""What were the meetings like?""}]",3,,149,,,yi4,,
676,济,濟,jì,"[""to aid"",""to help"",""to relieve"",""to ferry across""]","[{""chinese"":""经济在复苏之中。"",""english"":""The economy is picking up.""},{""chinese"":""再试也无济于事了。"",""english"":""There's no point in trying again.""},{""chinese"":""我正在大学里读经济。"",""english"":""I'm studying economics in college.""}]",3,,85,,,ji4,,
677,曾,曾,céng,"[""already"",""formerly"",""once"",""the past""]","[{""chinese"":""湯姆曾是謙遜的。"",""english"":""Tom was humble.""},{""chinese"":""他曾去過北海道。"",""english"":""He has been to Hokkaido.""},{""chinese"":""曾經有一個意外。"",""english"":""There's been an accident.""}]",3,,73,,,ceng2,,
678,民,民,mín,"[""citizens"",""subjects"",""a nation's people""]","[{""chinese"":""我是世界公民。"",""english"":""I'm a citizen of the world.""},{""chinese"":""民主支持自由。"",""english"":""Democracy encourages freedom.""},{""chinese"":""农民在春天播种。"",""english"":""Farmers sow seeds in the spring.""}]",3,,83,,,min2,,
679,坚,堅,jiān,"[""hard"",""strong"",""firm"",""resolute""]","[{""chinese"":""坚持。"",""english"":""Hang on!""},{""chinese"":""坚持。"",""english"":""Hang on.""},{""chinese"":""坚持。"",""english"":""Hold on.""}]",3,,32,,,jian1,,
680,规,規,guī,"[""rules"",""regulations"",""customs"",""law""]","[{""chinese"":""规矩点。"",""english"":""Behave yourself.""},{""chinese"":""规矩点。"",""english"":""Behave yourselves.""},{""chinese"":""规矩点。"",""english"":""Mind your manners.""}]",3,,147,,,gui1,,
681,环,環,huán,"[""bracelet"",""ring"",""to surround"",""to loop""]","[{""chinese"":""那是谁的环？"",""english"":""Whose ring is that?""},{""chinese"":""她环游了日本。"",""english"":""She traveled around Japan.""},{""chinese"":""汤姆环游了世界。"",""english"":""Tom has traveled around the world.""}]",3,,96,,,huan2,,
682,境,境,jìng,"[""boundary"",""frontier"",""area"",""region""]","[{""chinese"":""我處在絕境。"",""english"":""I'm in a desperate situation.""},{""chinese"":""這是環境災害。"",""english"":""It's an environmental disaster.""},{""chinese"":""最坏的情境是什么？"",""english"":""What's the worst-case scenario?""}]",3,,32,,,jing4,,
683,证,證,zhèng,"[""to prove"",""to verify"",""certificate"",""proof""]","[{""chinese"":""我向你保证。"",""english"":""I promise.""},{""chinese"":""你能证明吗?"",""english"":""Can you prove it?""},{""chinese"":""我和你保证。"",""english"":""I gave you my word.""}]",3,"[""証""]",149,,,zheng4,,
684,责,責,zé,"[""duty"",""responsibility"",""to reproach""]","[{""chinese"":""究竟谁要负责？"",""english"":""Who exactly is responsible?""},{""chinese"":""为什么责备汤姆？"",""english"":""Why blame Tom?""},{""chinese"":""我对此负有责任。"",""english"":""I'm responsible for that.""}]",3,,154,,,ze2,,
685,造,造,zào,"[""to build"",""to construct"",""to invent"",""to manufacture""]","[{""chinese"":""桥在建造中。"",""english"":""The bridge is under construction.""},{""chinese"":""上帝创造了世界"",""english"":""God created the world.""},{""chinese"":""這是朵人造花。"",""english"":""It's an artificial flower.""}]",3,,162,,,zao4,,
686,显,顯,xiǎn,"[""clear"",""evident"",""prominent"",""to show""]","[{""chinese"":""事实显而易见。"",""english"":""The facts are clear.""},{""chinese"":""他明显在撒谎。"",""english"":""He is lying through his teeth.""},{""chinese"":""两者之间有显著的差别。"",""english"":""There are noticeable differences between the two.""}]",3,,72,,,xian3,,
687,简,簡,jiǎn,"[""simple"",""succinct"",""terse"",""a letter""]","[{""chinese"":""这很简单。"",""english"":""It's very simple.""},{""chinese"":""这很简单。"",""english"":""It is very simple.""},{""chinese"":""法语很简单。"",""english"":""French is easy.""}]",3,,118,,,jian3,,
688,专,專,zhuān,"[""concentrated"",""specialized"",""to monopolize""]","[{""chinese"":""你选好专业了吗"",""english"":""Have you chosen a major yet?""},{""chinese"":""你的专业是什么？"",""english"":""What's your major?""},{""chinese"":""汤姆买了新专辑。"",""english"":""Tom bought the new album.""}]",3,,1,,,zhuan1,,
689,基,基,jī,"[""base"",""foundation"",""radical""]","[{""chinese"":""它是基本人权。"",""english"":""It's a basic human right.""},{""chinese"":""你不懂基本逻辑吗？"",""english"":""Do you not understand basic logic?""},{""chinese"":""我乘几路车去怀基基？"",""english"":""What number bus do I take to get to Waikiki?""}]",3,,32,,,ji1,,
690,仍,仍,réng,"[""yet"",""still"",""keeping"",""continuing"",""again""]","[{""chinese"":""我仍然爱着她。"",""english"":""I still love her.""},{""chinese"":""他仍然爱着她。"",""english"":""He still loves her.""},{""chinese"":""你仍然很年輕。"",""english"":""You're still young.""}]",3,,9,,,reng2,,
691,父,父,fù,"[""father"",""dad""]","[{""chinese"":""子承父业。"",""english"":""He substituted for his father.""},{""chinese"":""他是我父親。"",""english"":""He is my father.""},{""chinese"":""父亲很健康。"",""english"":""My father is healthy.""}]",3,,88,,,fu4,,
692,亲,親,qīn,"[""relatives"",""parents"",""intimate"",""the hazelnut tree""]","[{""chinese"":""他想亲她。"",""english"":""He wants to kiss her.""},{""chinese"":""他们亲吻了。"",""english"":""They kissed.""},{""chinese"":""他亲自来了。"",""english"":""He came in person.""}]",3,,117,,,qin1,,
693,性,性,xìng,"[""sex"",""nature"",""character"",""suffix converting a verb to an adjective""]","[{""chinese"":""我生性樂觀。"",""english"":""I'm an optimist by nature.""},{""chinese"":""我是个急性子。"",""english"":""I'm impatient.""},{""chinese"":""汤姆非常性感。"",""english"":""Tom is so hot.""}]",3,,61,,,xing4,,
694,某,某,mǒu,"[""some"",""a certain"",""sb or sth indefinite""]","[{""chinese"":""他家在这儿某处。"",""english"":""His house is somewhere about here.""},{""chinese"":""他家在这儿某处。"",""english"":""His house is somewhere around here.""},{""chinese"":""我在等待着某个人。"",""english"":""I'm expecting someone.""}]",3,,75,,,mou3,,
695,命,命,mìng,"[""life"",""destiny"",""fate"",""luck"",""an order"",""instruction""]","[{""chinese"":""拼命地跑"",""english"":""Run like your life depends on it.""},{""chinese"":""你不要命啦！"",""english"":""Are you nuts?""},{""chinese"":""我爱我的生命。"",""english"":""I love my life.""}]",3,,30,,,ming4,,
696,达,達,dá,"[""to attain"",""to reach"",""to amount to""]","[{""chinese"":""你想表达什么？"",""english"":""What do you mean?""},{""chinese"":""他是捕鱼达人。"",""english"":""He is an expert at fishing.""},{""chinese"":""她达到了目标。"",""english"":""She has achieved her goals.""}]",3,,162,,,da2,,
697,义,義,yì,"[""justice"",""righteousness"",""meaning""]","[{""chinese"":""这毫无意义。"",""english"":""That's quite meaningless.""},{""chinese"":""这是您的义务。"",""english"":""That's your responsibility.""},{""chinese"":""你有义务还债。"",""english"":""You're liable for the debt.""}]",3,,4,,,yi4,,
698,断,斷,duàn,"[""to break"",""to snap"",""to cut off""]","[{""chinese"":""他反对垄断。"",""english"":""He was opposed to monopolies.""},{""chinese"":""我们没有打断。"",""english"":""We didn't break in.""},{""chinese"":""请不要打断我。"",""english"":""Please don't interrupt me.""}]",3,,69,,,duan4,,
699,类,類,lèi,"[""category"",""class"",""group"",""kind"",""similar to"",""to resemble""]","[{""chinese"":""这是鸟类庇护所。"",""english"":""This is a bird sanctuary.""},{""chinese"":""狗是人类最好的朋友。"",""english"":""Dog is man's best friend.""},{""chinese"":""你做什么类型的工作？"",""english"":""What sort of work do you do?""}]",3,,37,,,lei4,,
700,媒,媒,méi,"[""medium"",""intermediary"",""matchmaker""]","[{""chinese"":""媒"",""english"":""The character 媒""},{""chinese"":""学媒"",""english"":""Study 媒""},{""chinese"":""这是媒"",""english"":""This is 媒""}]",3,,38,,,mei2,,
701,首,首,shǒu,"[""head"",""chief"",""first""]","[{""chinese"":""我爱这首歌。"",""english"":""I love this song.""},{""chinese"":""請唱一首歌。"",""english"":""Please sing a song.""},{""chinese"":""和我唱首歌。"",""english"":""Sing a song with me.""}]",3,,185,,,shou3,,
702,母,母,mǔ,"[""mother"",""elderly female relative"",""origin""]","[{""chinese"":""我寫字母。"",""english"":""I write letters.""},{""chinese"":""这是我母亲。"",""english"":""This is my mother.""},{""chinese"":""我有一头母牛。"",""english"":""I have a cow.""}]",3,,80,,,mu3,,
703,化,化,huà,"[""to change"",""to convert"",""to reform"",""-ize""]","[{""chinese"":""我讨厌化学。"",""english"":""I hate chemistry.""},{""chinese"":""她化着浓妆。"",""english"":""She wears a lot of makeup.""},{""chinese"":""他的化学很差。"",""english"":""He is poor at chemistry.""}]",3,,21,,,hua4,,
704,立,立,lì,"[""to stand"",""to set up"",""to establish""]","[{""chinese"":""起立。"",""english"":""Stand up.""},{""chinese"":""立即開始。"",""english"":""Begin now.""},{""chinese"":""立即送醫。"",""english"":""Send for a doctor at once.""}]",3,,117,,,li4,,
705,产,產,chǎn,"[""to give birth"",""to reproduce"",""to produce""]","[{""chinese"":""牛可产奶。"",""english"":""Cows give milk.""},{""chinese"":""他破产了。"",""english"":""He went bankrupt.""},{""chinese"":""公司破产了。"",""english"":""The company went bankrupt.""}]",3,,8,,,chan3,,
706,光,光,guāng,"[""light"",""bright"",""brilliant"",""only"",""merely""]","[{""chinese"":""請光臨。"",""english"":""Please come.""},{""chinese"":""時光飛逝。"",""english"":""Time flies.""},{""chinese"":""灯泡发光。"",""english"":""A light bulb gives light.""}]",3,,10,,,guang1,,
707,派,派,pài,"[""clique"",""faction"",""group"",""sect""]","[{""chinese"":""我愛派對。"",""english"":""I love parties.""},{""chinese"":""在派对上见"",""english"":""See you at the party.""},{""chinese"":""我想做个派。"",""english"":""I want to make a pie.""}]",3,,85,,,pai4,,
708,负,負,fù,"[""load"",""burden"",""to carry"",""to bear""]","[{""chinese"":""我负担不起。"",""english"":""I can't afford it.""},{""chinese"":""汤姆被欺负了。"",""english"":""Tom was bullied.""},{""chinese"":""Tom负伤了。"",""english"":""Tom has been wounded.""}]",3,,154,,,fu4,,
709,仅,僅,jǐn,"[""only"",""merely"",""solely"",""just""]","[{""chinese"":""我仅仅吃了口面包。"",""english"":""I only took a bite of bread.""},{""chinese"":""这仅是你的想像而已。"",""english"":""It's just your imagination.""},{""chinese"":""他仅有够糊口的吃的。"",""english"":""He had barely enough to eat.""}]",3,,9,,,jin3,,
710,谈,談,tán,"[""to talk"",""to chat"",""conversation"",""surname""]","[{""chinese"":""谈判中止了。"",""english"":""The negotiation is off.""},{""chinese"":""他不太健谈。"",""english"":""He is a man of few words.""},{""chinese"":""请跟汤姆谈话。"",""english"":""Please talk to Tom.""}]",3,,149,,,tan2,,
711,深,深,shēn,"[""deep"",""profound"",""depth""]","[{""chinese"":""請深呼吸。"",""english"":""Take a deep breath, please.""},{""chinese"":""這個洞多深?"",""english"":""How deep is the hole?""},{""chinese"":""積雪深及膝蓋。"",""english"":""The snow was knee deep.""}]",3,,85,,,shen1,,
712,领,領,lǐng,"[""neck"",""collar"",""lead"",""guide""]","[{""chinese"":""汤姆不会系领带。"",""english"":""Tom can't tie a tie.""},{""chinese"":""我是不会系领带的。"",""english"":""I won't be wearing a tie.""},{""chinese"":""失物招领处在哪儿？"",""english"":""Where is the lost and found?""}]",3,,181,,,ling3,,
713,导,導,dǎo,"[""to direct"",""to guide"",""to lead"",""to conduct""]","[{""chinese"":""我为你充当导游。"",""english"":""I'll act as a guide for you.""},{""chinese"":""我们需要称职的领导人。"",""english"":""We need competent leaders.""},{""chinese"":""那事故是他的粗心导致的。"",""english"":""That accident was due to his carelessness.""}]",3,,41,,,dao3,,
714,增,增,zēng,"[""to increase"",""to expand"",""to augment"",""to add""]","[{""chinese"":""我增加了體重。"",""english"":""I've gained weight.""},{""chinese"":""人口穩定地增加。"",""english"":""There was a steady increase in population.""},{""chinese"":""她最近增加了體重。"",""english"":""She has put on weight recently.""}]",3,,32,,,zeng1,,
715,至,至,zhì,"[""reach"",""arrive"",""very"",""extremely""]","[{""chinese"":""事已至此。"",""english"":""What's done is done.""},{""chinese"":""我甚至不喜歡你"",""english"":""I don't even like you.""},{""chinese"":""我会战斗至死。"",""english"":""I'll fight to the death.""}]",3,,133,,,zhi4,,
716,训,訓,xùn,"[""to teach"",""to instruct"",""pattern"",""example"",""exegesis""]","[{""chinese"":""会有训练。"",""english"":""Training will be provided.""},{""chinese"":""记好了这教训。"",""english"":""Keep this lesson in mind.""},{""chinese"":""汤姆是海豚训练员。"",""english"":""Tom is a dolphin trainer.""}]",3,,149,,,xun4,,
717,压,壓,yā,"[""press"",""oppress"",""crush"",""pressure""]","[{""chinese"":""我有高血压。"",""english"":""I have high blood pressure.""},{""chinese"":""我的血压很低。"",""english"":""My blood pressure is low.""},{""chinese"":""我的血压很低。"",""english"":""I have low blood pressure.""}]",3,,27,,,ya1,,
718,价,價,jià,"[""great"",""good"",""middleman""]","[{""chinese"":""价格高。"",""english"":""Prices are high.""},{""chinese"":""物价上涨了。"",""english"":""Prices are going up.""},{""chinese"":""肉价下跌了。"",""english"":""The price of meat dropped.""}]",3,,9,,,jia4,,
719,值,值,zhí,"[""value"",""worth"",""to happen to""]","[{""chinese"":""它值得一試。"",""english"":""It's worth a try.""},{""chinese"":""今天谁值班？"",""english"":""Who's on duty today?""},{""chinese"":""不值得去記。"",""english"":""It's not worth remembering.""}]",3,,9,,,zhi2,,
720,绝,絕,jué,"[""to cut"",""to sever"",""to break off"",""to terminate""]","[{""chinese"":""我必须拒绝。"",""english"":""I must decline.""},{""chinese"":""我必须拒绝。"",""english"":""I have to say no.""},{""chinese"":""绝对将要下雨。"",""english"":""It'll rain for sure.""}]",3,,120,,,jue2,,
721,属,屬,shǔ,"[""class"",""category"",""type"",""family"",""affiliated"",""belonging to""]","[{""chinese"":""酸性腐蚀了金属。"",""english"":""The acid ate into the metal.""},{""chinese"":""铁是个有用的金属。"",""english"":""Iron is a useful metal.""},{""chinese"":""这辆自行车属于我。"",""english"":""This bicycle belongs to me.""}]",3,,44,,,shu3,,
722,格,格,gé,"[""square"",""frame"",""rule""]","[{""chinese"":""价格高。"",""english"":""Prices are high.""},{""chinese"":""不是你的風格。"",""english"":""It's not your style.""},{""chinese"":""他来自英格兰。"",""english"":""He comes from England.""}]",3,,75,,,ge2,,
723,底,底,dǐ,"[""bottom"",""underside"",""below"",""underneath""]","[{""chinese"":""到底怎么了？"",""english"":""What on earth is the matter?""},{""chinese"":""他到底想干嘛？"",""english"":""What does he want to do?""},{""chinese"":""把平底鍋離火。"",""english"":""Take the pan off the fire.""}]",3,,53,,,di3,,
724,历,曆,lì,"[""to experience"",""to undergo"",""to pass through""]","[{""chinese"":""他学了英国历史。"",""english"":""He studied English history.""},{""chinese"":""历史课九点开始。"",""english"":""The history class starts at nine.""},{""chinese"":""他在大学修读历史。"",""english"":""He studies history at college.""}]",3,"[""歷""]",27,,,li4,,
725,验,驗,yàn,"[""to examine"",""to inspect"",""to test"",""to verify""]","[{""chinese"":""你的测验怎么样？"",""english"":""How was your test?""},{""chinese"":""你的测验怎么样？"",""english"":""How did your test go?""},{""chinese"":""这是奇妙的体验。"",""english"":""It's been an amazing experience.""}]",3,,187,,,yan4,,
726,状,狀,zhuàng,"[""state"",""condition"",""shape"",""appearance"",""form"",""certificate""]","[{""chinese"":""这孩子有水痘的症状。"",""english"":""The child has a case of chicken pox.""},{""chinese"":""患者现在处于深度昏迷状态。"",""english"":""The patient is in a deep coma.""},{""chinese"":""汤姆应该用别的方式处理这状况。"",""english"":""Tom should have handled the situation differently.""}]",3,,94,,,zhuang4,,
727,品,品,pǐn,"[""article"",""good"",""product"",""commodity"",""quality"",""character""]","[{""chinese"":""對毒品說不。"",""english"":""Say no to drugs.""},{""chinese"":""啤酒论品脱卖。"",""english"":""Beer is sold by the pint.""},{""chinese"":""请勿触碰展品。"",""english"":""Don't touch the exhibits.""}]",3,,30,,,pin3,,
728,步,步,bù,"[""walk"",""stroll"",""pace"",""march"",""to make progress""]","[{""chinese"":""你跑步嗎？"",""english"":""Do you run?""},{""chinese"":""他让步了."",""english"":""He gave in.""},{""chinese"":""你進步了。"",""english"":""You've made progress.""}]",3,,77,,,bu4,,
729,伤,傷,shāng,"[""to injure"",""to harm"",""wound"",""injury"",""to fall ill""]","[{""chinese"":""别伤心。"",""english"":""Don't be sad.""},{""chinese"":""我受伤了。"",""english"":""I'm injured.""},{""chinese"":""我受伤了。"",""english"":""I'm wounded.""}]",3,,9,,,shang1,,
730,具,具,jù,"[""tool"",""implement"",""to draw up"",""to write""]","[{""chinese"":""木匠帶了工具。"",""english"":""The carpenter brought his tools along.""},{""chinese"":""热情具有传染性。"",""english"":""Enthusiasm is contagious.""},{""chinese"":""我們有很多家具。"",""english"":""We had a lot of furniture.""}]",3,,12,,,ju4,,
731,困,睏,kùn,"[""to surround"",""to besiege"",""surrounded"",""in distress"",""poor"",""tired""]","[{""chinese"":""我困了。"",""english"":""I'm sleepy.""},{""chinese"":""困死了。"",""english"":""I'm exhausted.""},{""chinese"":""困死了。"",""english"":""I'm dead tired.""}]",3,"[""困""]",31,,,kun4,,
732,幸,幸,xìng,"[""favor"",""fortune"",""luck"",""surname""]","[{""chinese"":""幸会。"",""english"":""It's a privilege to meet you.""},{""chinese"":""幸会。"",""english"":""It is a privilege to meet you.""},{""chinese"":""我很幸福。"",""english"":""I'm very happy.""}]",3,"[""倖""]",51,,,xing4,,
733,福,福,fú,"[""good fortune"",""happiness"",""luck""]","[{""chinese"":""我很幸福。"",""english"":""I'm very happy.""},{""chinese"":""她让我幸福。"",""english"":""She makes me happy.""},{""chinese"":""無知就是幸福。"",""english"":""Ignorance is bliss.""}]",3,,113,,,fu2,,
734,众,眾,zhòng,"[""multitude"",""crowd"",""masses"",""public""]","[{""chinese"":""众口难调。"",""english"":""It is difficult to satisfy everyone.""},{""chinese"":""观众人数庞大。"",""english"":""The audience was very large.""},{""chinese"":""观众深受感动。"",""english"":""The audience was deeply affected.""}]",3,,9,,,zhong4,,
735,婚,婚,hūn,"[""to marry"",""marriage"",""wedding""]","[{""chinese"":""我已婚。"",""english"":""I'm married.""},{""chinese"":""我已婚。"",""english"":""I'm already married.""},{""chinese"":""我离婚了。"",""english"":""I am divorced.""}]",3,,38,,,hun1,,
736,抓,抓,zhuā,"[""to grab"",""to catch"",""to arrest""]","[{""chinese"":""抓住他。"",""english"":""Grab him.""},{""chinese"":""抓住他。"",""english"":""Catch him.""},{""chinese"":""抓住汤姆。"",""english"":""Grab Tom.""}]",3,,64,,,zhua1,,
737,警,警,jǐng,"[""to guard"",""to watch"",""alarm"",""alert""]","[{""chinese"":""报警！"",""english"":""Call the police!""},{""chinese"":""报警！"",""english"":""Call the police.""},{""chinese"":""叫警察。"",""english"":""Please call the police.""}]",3,,149,,,jing3,,
738,察,察,chá,"[""to examine"",""to investigate"",""to observe""]","[{""chinese"":""叫警察！"",""english"":""Call the police!""},{""chinese"":""叫警察。"",""english"":""Please call the police.""},{""chinese"":""警察醉了。"",""english"":""The policeman was drunk.""}]",3,,40,,,cha2,,
739,效,效,xiào,"[""effect"",""efficacy"",""to imitate""]","[{""chinese"":""它不会奏效。"",""english"":""It won't work.""},{""chinese"":""車票有效三天。"",""english"":""The ticket is good for three days.""},{""chinese"":""这张票三日有效。"",""english"":""This ticket is good for three days.""}]",3,,66,,,xiao4,,
740,范,範,fàn,"[""pattern"",""model"",""example"",""surname""]","[{""chinese"":""您可以示範一下嗎?"",""english"":""Can you demonstrate it?""}]",3,,140,,,fan4,,
741,围,圍,wéi,"[""to encircle"",""to surround"",""all around""]","[{""chinese"":""你为什么戴那条围巾？"",""english"":""Why are you wearing that scarf?""},{""chinese"":""世界不是围着你转的。"",""english"":""The world doesn't revolve around you.""},{""chinese"":""花园被木栅栏围了起来。"",""english"":""The garden was surrounded by a wooden fence.""}]",3,,31,,,wei2,,
742,紧,緊,jǐn,"[""tense"",""tight"",""taut"",""firm"",""secure""]","[{""chinese"":""你紧张吗？"",""english"":""Are you nervous?""},{""chinese"":""我也紧张。"",""english"":""I was nervous, too.""},{""chinese"":""请抱紧汤姆。"",""english"":""Hug Tom.""}]",3,,120,,,jin3,,
743,集,集,jí,"[""to gather"",""to collect"",""set"",""collection""]","[{""chinese"":""我收集郵票。"",""english"":""I collect stamps.""},{""chinese"":""湯姆蒐集了什麼？"",""english"":""What did Tom collect?""},{""chinese"":""我收集外國硬幣。"",""english"":""I collect foreign coins.""}]",3,,172,,,ji2,,
744,血,血,xuè,"[""blood"",""colloquial pr."",""CL:滴,片""]","[{""chinese"":""我在流血。"",""english"":""I'm bleeding.""},{""chinese"":""汤姆在流血。"",""english"":""Tom's bleeding.""},{""chinese"":""汤姆在流血。"",""english"":""Tom is bleeding.""}]",3,,143,,,xue4,,
745,速,速,sù,"[""fast"",""rapid"",""quick""]","[{""chinese"":""他提速了。"",""english"":""He accelerated.""},{""chinese"":""不要超速。"",""english"":""Don't exceed the speed limit.""},{""chinese"":""不要超速。"",""english"":""Don't go over the speed limit.""}]",3,,162,,,su4,,
746,艺,藝,yì,"[""art"",""talent"",""ability"",""craft""]","[{""chinese"":""汤姆享受园艺。"",""english"":""Tom enjoys gardening.""},{""chinese"":""汤姆多才多艺。"",""english"":""Tom has many talents.""},{""chinese"":""汤姆多才多艺。"",""english"":""Tom is very talented.""}]",3,,140,,,yi4,,
747,纪,紀,jì,"[""discipline"",""age"",""period"",""era"",""record"",""annal""]","[{""chinese"":""他生于19世纪。"",""english"":""He was born in the 19th century.""},{""chinese"":""他跟您年纪差不多。"",""english"":""He is about your age.""},{""chinese"":""我们必须遵纪守法。"",""english"":""We ought to obey the law.""}]",3,,120,,,ji4,,
748,职,職,zhí,"[""duty"",""profession"",""office"",""post""]","[{""chinese"":""我是个职员。"",""english"":""I'm an office worker.""},{""chinese"":""别辞掉你的正职。"",""english"":""Don't quit your day job.""},{""chinese"":""他的职业是医生。"",""english"":""He's a doctor by profession.""}]",3,,128,,,zhi2,,
749,失,失,shī,"[""to lose"",""to miss"",""to fail""]","[{""chinese"":""我迷失了。"",""english"":""I'm lost.""},{""chinese"":""不要失礼。"",""english"":""Don't be rude.""},{""chinese"":""你會失敗。"",""english"":""You will fail.""}]",3,,37,,,shi1,,
750,营,營,yíng,"[""camp"",""barracks"",""army"",""to run"",""to manage""]","[{""chinese"":""银行星期六不营业。"",""english"":""The bank is not open on Saturdays.""},{""chinese"":""他是营销部的负责人。"",""english"":""He's the manager of the marketing department.""},{""chinese"":""他是营销部的负责人。"",""english"":""He is the manager of the marketing department.""}]",3,,140,,,ying2,,
751,演,演,yǎn,"[""to perform"",""to stage"",""to develop""]","[{""chinese"":""好一場演說！"",""english"":""What a speech!""},{""chinese"":""他是喜剧演员。"",""english"":""He's a comedian.""},{""chinese"":""汤姆是演员吗？"",""english"":""Is Tom an actor?""}]",3,,85,,,yan3,,
