index,simplified,traditional,traditionalVariants,pinyin,pinyin2,pinyin3,numberedPinyin,numberedPinyin2,numberedPinyin3,radicalIndex,hskLevel,lesson,definition,examples,wordExamples
565,疼,疼,,téng,,,teng2,,,104,2,,hurts | sore | to love dearly,"[{""chinese"": ""我的腿疼得很厉害。"", ""english"": ""My leg hurts a lot.""}, {""chinese"": ""她疼爱自己的孩子。"", ""english"": ""She loves her children dearly.""}, {""chinese"": ""头疼吃什么药比较好？"", ""english"": ""What medicine is good for a headache?""}]","[{""word"": ""疼痛"", ""pinyin"": ""téngtòng"", ""meaning"": ""pain / ache""}, {""word"": ""心疼"", ""pinyin"": ""xīnténg"", ""meaning"": ""to feel sorry for / to feel distressed about""}, {""word"": ""牙疼"", ""pinyin"": ""yáténg"", ""meaning"": ""toothache""}]"
566,复,復,複,fù,,,fu4,,,35,2,,to repeat / again / to return / to restore / to reply / duplicate,"[{""chinese"": ""他康复后重新开始工作。"", ""english"": ""After recovering, he resumed work.""}, {""chinese"": ""这份合同需要复审。"", ""english"": ""This contract needs to be reviewed again.""}, {""chinese"": ""我会尽快复你的邮件。"", ""english"": ""I'll reply to your email as soon as possible.""}]","[{""word"": ""复习"", ""pinyin"": ""fùxí"", ""meaning"": ""to review / to revise""}, {""word"": ""恢复"", ""pinyin"": ""huīfù"", ""meaning"": ""to recover / to restore""}, {""word"": ""答复"", ""pinyin"": ""dáfù"", ""meaning"": ""reply / response""}]"
567,晨,晨,,chén,,,chen2,,,72,2,,morning | dawn | daybreak,"[{""chinese"": ""每天清晨我都去跑步。"", ""english"": ""I go running every morning.""}, {""chinese"": ""晨曦中，城市渐渐苏醒。"", ""english"": ""In the morning light, the city gradually wakes up.""}, {""chinese"": ""他们聊天聊到凌晨三点。"", ""english"": ""They chatted until 3 in the morning.""}]","[{""word"": ""清晨"", ""pinyin"": ""qīngchén"", ""meaning"": ""early morning / daybreak""}, {""word"": ""晨曦"", ""pinyin"": ""chénxī"", ""meaning"": ""morning light / dawn""}, {""word"": ""凌晨"", ""pinyin"": ""língchén"", ""meaning"": ""early morning hours (midnight to dawn)""}]"
568,碗,碗,,wǎn,,,wan3,,,112,2,,bowl / cup,"[{""chinese"": ""这个瓷碗很漂亮。"", ""english"": ""This porcelain bowl is very beautiful.""}, {""chinese"": ""妈妈要我洗碗盘。"", ""english"": ""Mom asked me to wash the dishes.""}, {""chinese"": ""我需要一个大碗装汤。"", ""english"": ""I need a large bowl for the soup.""}]","[{""word"": ""碗筷"", ""pinyin"": ""wǎnkuài"", ""meaning"": ""bowls and chopsticks""}, {""word"": ""饭碗"", ""pinyin"": ""fànwǎn"", ""meaning"": ""rice bowl / livelihood""}, {""word"": ""汤碗"", ""pinyin"": ""tāngwǎn"", ""meaning"": ""soup bowl""}]"
569,碰,碰,,pèng,,,peng4,,,112,2,,to touch / to collide / to meet with / to bump into / to encounter,"[{""chinese"": ""小心别碰到那个花瓶。"", ""english"": ""Be careful not to bump into that vase.""}, {""chinese"": ""我在街上碰见了一个老朋友。"", ""english"": ""I ran into an old friend on the street.""}, {""chinese"": ""不要碰我的东西。"", ""english"": ""Don't touch my things.""}]","[{""word"": ""碰面"", ""pinyin"": ""pèngmiàn"", ""meaning"": ""to meet / to encounter""}, {""word"": ""碰撞"", ""pinyin"": ""pèngzhuàng"", ""meaning"": ""to collide / collision""}, {""word"": ""碰运气"", ""pinyin"": ""pèng yùnqi"", ""meaning"": ""to try one's luck""}]"
570,姓,姓,,xìng,,,xing4,,,38,2,,surname | family name | last name,"[{""chinese"": ""你叫什么名字，姓什么？"", ""english"": ""What's your name and what's your surname?""}, {""chinese"": ""在中国，姓氏的历史非常悠久。"", ""english"": ""In China, the history of surnames is extremely ancient.""}, {""chinese"": ""我姓李，名字叫小明。"", ""english"": ""My surname is Li and my given name is Xiaoming.""}]","[{""word"": ""姓名"", ""pinyin"": ""xìngmíng"", ""meaning"": ""name; full name""}, {""word"": ""姓氏"", ""pinyin"": ""xìngshì"", ""meaning"": ""surname; family name""}, {""word"": ""同姓"", ""pinyin"": ""tóngxìng"", ""meaning"": ""same surname; namesake""}]"
571,静,靜,,jìng,,,jing4,,,174,2,,quiet | still | calm | peaceful | motionless,"[{""chinese"": ""图书馆里很安静，大家都在认真读书。"", ""english"": ""The library is very quiet; everyone is reading seriously.""}, {""chinese"": ""他静静地坐在窗边，看着外面的风景。"", ""english"": ""He sat quietly by the window, gazing at the scenery outside.""}, {""chinese"": ""深呼吸可以让心情变得平静。"", ""english"": ""Deep breathing can help calm your mood.""}]","[{""word"": ""安静"", ""pinyin"": ""ānjìng"", ""meaning"": ""quiet; peaceful; calm""}, {""word"": ""冷静"", ""pinyin"": ""lěngjìng"", ""meaning"": ""calm; cool; composed""}, {""word"": ""平静"", ""pinyin"": ""píingjìng"", ""meaning"": ""tranquil; peaceful; calm""}]"
572,舒,舒,,shū,,,shu1,,,135,2,,comfortable | relaxed | pleasant | to stretch out | to unfold,"[{""chinese"": ""这张椅子坐起来很舒服。"", ""english"": ""This chair is very comfortable to sit on.""}, {""chinese"": ""经过按摩，他的肌肉变得舒缓了。"", ""english"": ""After the massage, his muscles became more relaxed.""}, {""chinese"": ""站起来舒展一下身体吧。"", ""english"": ""Stand up and stretch your body a bit.""}]","[{""word"": ""舒服"", ""pinyin"": ""shūfu"", ""meaning"": ""comfortable; pleasant; at ease""}, {""word"": ""舒适"", ""pinyin"": ""shūshì"", ""meaning"": ""comfortable; cozy""}, {""word"": ""舒展"", ""pinyin"": ""shūzhǎn"", ""meaning"": ""to stretch out; to unfold; relaxed""}]"
573,冬,冬,冬,dōng,,,dong1,,,15,2,,winter; the coldest season,"[{""chinese"": ""冬天下雪了，孩子们都在外面堆雪人。"", ""english"": ""It snowed in winter, and the children were all outside building snowmen.""}, {""chinese"": ""今年冬季特别冷，要多穿衣服。"", ""english"": ""This winter is particularly cold; you need to wear more clothes.""}, {""chinese"": ""我喜欢冬天喝热汤。"", ""english"": ""I like drinking hot soup in winter.""}]","[{""word"": ""冬天"", ""pinyin"": ""dōngtiān"", ""meaning"": ""winter; the winter season""}, {""word"": ""冬季"", ""pinyin"": ""dōngjì"", ""meaning"": ""winter; the winter season""}, {""word"": ""冬日"", ""pinyin"": ""dōngrì"", ""meaning"": ""winter day; days of winter""}]"
574,斤,斤,,jīn,,,jin1,,,69,2,,"catty (unit of weight, approximately 0.5 kg) | axe | keen | shrewd","[{""chinese"": ""这袋米重两斤，足够吃一周。"", ""english"": ""This bag of rice weighs two catties, enough for a week.""}, {""chinese"": ""她在菜市场斤斤计较，想买到最便宜的菜。"", ""english"": ""She haggled carefully at the market, trying to buy the cheapest vegetables.""}, {""chinese"": ""那个商人很精明，斤两分毫不差。"", ""english"": ""That merchant is very shrewd; his measurements are always exact.""}]","[{""word"": ""公斤"", ""pinyin"": ""gōngjīn"", ""meaning"": ""kilogram; kg""}, {""word"": ""半斤"", ""pinyin"": ""bànjīn"", ""meaning"": ""half a catty; about 250 grams""}, {""word"": ""斤两"", ""pinyin"": ""jīnliǎng"", ""meaning"": ""weight; quantity; ability; worth""}]"
575,于,於,于,yú,,,yu2,,,7,2,,at | in | on | to | from | alas!,"[{""chinese"": ""这个决定基于多年的经验。"", ""english"": ""This decision is based on years of experience.""}, {""chinese"": ""他对数学的热情源于童年。"", ""english"": ""His passion for mathematics stems from childhood.""}, {""chinese"": ""这件事我有责任于她。"", ""english"": ""I bear responsibility for this matter to her.""}]","[{""word"": ""至于"", ""pinyin"": ""zhìyú"", ""meaning"": ""as for / regarding / as to""}, {""word"": ""由于"", ""pinyin"": ""yóuyú"", ""meaning"": ""due to / because of / owing to""}, {""word"": ""对于"", ""pinyin"": ""duìyú"", ""meaning"": ""towards / to / regarding""}]"
576,刻,刻,,kè,,,ke4,,,18,2,,to carve | to engrave | a quarter hour | a moment,"[{""chinese"": ""他在石头上刻了自己的名字。"", ""english"": ""He carved his name on the stone.""}, {""chinese"": ""再等一刻,我马上就来。"", ""english"": ""Wait just a moment, I'll be right there.""}, {""chinese"": ""这个时刻对我们很重要。"", ""english"": ""This moment is very important to us.""}]","[{""word"": ""立刻"", ""pinyin"": ""lìkè"", ""meaning"": ""immediately / at once / right away""}, {""word"": ""时刻"", ""pinyin"": ""shíkè"", ""meaning"": ""moment / instant / at all times""}, {""word"": ""刻苦"", ""pinyin"": ""kèkǔ"", ""meaning"": ""hardworking / diligent / assiduous""}]"
577,熟,熟,,shú,,,shu2,,,86,2,,well-cooked | ripe | mature | familiar with,"[{""chinese"": ""这个苹果已经很熟了,可以吃。"", ""english"": ""This apple is ripe now and ready to eat.""}, {""chinese"": ""我对这条路很熟悉。"", ""english"": ""I'm very familiar with this road.""}, {""chinese"": ""他们是多年的老熟人。"", ""english"": ""They've been acquaintances for many years.""}]","[{""word"": ""熟悉"", ""pinyin"": ""shúxī"", ""meaning"": ""familiar / well-known / to be familiar with""}, {""word"": ""熟人"", ""pinyin"": ""shúrén"", ""meaning"": ""acquaintance / familiar person""}, {""word"": ""生熟"", ""pinyin"": ""shēngshú"", ""meaning"": ""raw and cooked / degree of cooking""}]"
578,温,溫,,wēn,,,wen1,,,85,2,,warm | lukewarm | gentle | to warm up,"[{""chinese"": ""今天天气很温暖,适合散步。"", ""english"": ""The weather is very pleasant today, perfect for a walk.""}, {""chinese"": ""他用温柔的声音安慰了她。"", ""english"": ""He comforted her with a gentle voice.""}, {""chinese"": ""妈妈温了一杯牛奶给孩子。"", ""english"": ""Mom warmed up a glass of milk for the child.""}]","[{""word"": ""温度"", ""pinyin"": ""wēndù"", ""meaning"": ""temperature""}, {""word"": ""温柔"", ""pinyin"": ""wēnróu"", ""meaning"": ""gentle / tender / soft""}, {""word"": ""温泉"", ""pinyin"": ""wēnquán"", ""meaning"": ""hot spring""}]"
579,忽,忽,,hū,,,hu1,,,61,2,,to neglect | to overlook | to ignore | suddenly,"[{""chinese"": ""他忽略了题目中的重要信息。"", ""english"": ""He overlooked the important information in the question.""}, {""chinese"": ""忽然,一只鸟飞过天空。"", ""english"": ""Suddenly, a bird flew across the sky.""}, {""chinese"": ""不要忽视安全问题。"", ""english"": ""Don't ignore safety issues.""}]","[{""word"": ""忽视"", ""pinyin"": ""hūshì"", ""meaning"": ""to ignore / to overlook / to disregard""}, {""word"": ""忽然"", ""pinyin"": ""hūrán"", ""meaning"": ""suddenly / all of a sudden / abruptly""}, {""word"": ""忽略"", ""pinyin"": ""hūlüè"", ""meaning"": ""to overlook / to omit / to ignore""}]"
580,篮,籃,,lán,,,lan2,,,118,2,,basket | container for holding items,"[{""chinese"": ""我最喜欢打篮球。"", ""english"": ""Basketball is my favorite sport.""}, {""chinese"": ""买菜用的篮子很便宜。"", ""english"": ""The basket for shopping vegetables is quite cheap.""}, {""chinese"": ""她把水果放在篮里。"", ""english"": ""She put the fruit in the basket.""}]","[{""word"": ""篮球"", ""pinyin"": ""lánqiú"", ""meaning"": ""basketball""}, {""word"": ""篮子"", ""pinyin"": ""lánzi"", ""meaning"": ""basket | container""}, {""word"": ""篮筐"", ""pinyin"": ""lánkuàng"", ""meaning"": ""basketball hoop""}]"
581,阴,陰,,yīn,,,yin1,,,170,2,,shade | shadowy | dark | cloudy | hidden | secret | yin (feminine principle),"[{""chinese"": ""今天天气阴沉沉的。"", ""english"": ""The weather is overcast and gloomy today.""}, {""chinese"": ""树的阴影很凉爽。"", ""english"": ""The shade from the tree is very cool.""}, {""chinese"": ""他心里藏着阴暗的念头。"", ""english"": ""He harbors dark thoughts in his heart.""}]","[{""word"": ""阴天"", ""pinyin"": ""yīntiān"", ""meaning"": ""cloudy day | overcast""}, {""word"": ""阴影"", ""pinyin"": ""yīnyǐng"", ""meaning"": ""shadow | shade""}, {""word"": ""阴暗"", ""pinyin"": ""yīn'àn"", ""meaning"": ""dark | gloomy | sinister""}]"
582,春,春,,chūn,,,chun1,,,72,2,,spring | springtime | the season of growth and renewal,"[{""chinese"": ""春天花开得很漂亮。"", ""english"": ""The flowers bloom beautifully in spring.""}, {""chinese"": ""春风吹过田野。"", ""english"": ""The spring breeze blows across the fields.""}, {""chinese"": ""我们春天去旅游。"", ""english"": ""We're going on a trip in spring.""}]","[{""word"": ""春天"", ""pinyin"": ""chūntiān"", ""meaning"": ""spring | springtime""}, {""word"": ""春风"", ""pinyin"": ""chūnfēng"", ""meaning"": ""spring breeze""}, {""word"": ""春节"", ""pinyin"": ""chūnjié"", ""meaning"": ""Spring Festival | Chinese New Year""}]"
583,餐,餐,,cān,,,can1,,,184,2,,meal | to eat | dining | food,"[{""chinese"": ""公司提供免费午餐。"", ""english"": ""The company provides free lunch.""}, {""chinese"": ""我们在餐厅吃晚餐。"", ""english"": ""We eat dinner at the restaurant.""}, {""chinese"": ""早餐吃什么？"", ""english"": ""What are you having for breakfast?""}]","[{""word"": ""午餐"", ""pinyin"": ""wǔcān"", ""meaning"": ""lunch""}, {""word"": ""晚餐"", ""pinyin"": ""wǎncān"", ""meaning"": ""dinner | supper""}, {""word"": ""早餐"", ""pinyin"": ""zǎocān"", ""meaning"": ""breakfast""}]"
584,共,共,,gòng,,,gong4,,,12,2,,altogether | in total | together | to share | common,"[{""chinese"": ""这个项目一共需要三个月。"", ""english"": ""This project needs three months in total.""}, {""chinese"": ""我们共同的目标是成功。"", ""english"": ""Our common goal is success.""}, {""chinese"": ""他们共住一间公寓。"", ""english"": ""They share an apartment together.""}]","[{""word"": ""共同"", ""pinyin"": ""gòngtóng"", ""meaning"": ""common | joint | mutual""}, {""word"": ""一共"", ""pinyin"": ""yīgòng"", ""meaning"": ""in total | altogether""}, {""word"": ""共和国"", ""pinyin"": ""gònghéguó"", ""meaning"": ""republic""}]"
585,澡,澡,,zǎo,,,zao3,,,85,2,,to wash | to bathe,"[{""chinese"": ""我每天晚上洗澡。"", ""english"": ""I take a shower every evening.""}, {""chinese"": ""小孩在浴室里洗澡。"", ""english"": ""The child is bathing in the bathroom.""}, {""chinese"": ""洗澡的水太烫了。"", ""english"": ""The bathwater is too hot.""}]","[{""word"": ""洗澡"", ""pinyin"": ""xǐzǎo"", ""meaning"": ""to bathe / to shower""}, {""word"": ""澡堂"", ""pinyin"": ""zǎotáng"", ""meaning"": ""bathhouse / public bath""}, {""word"": ""澡盆"", ""pinyin"": ""zǎopén"", ""meaning"": ""bathtub""}]"
586,凉,涼,,liáng,,,liang2,,,15,2,,cool | cold | disheartened,"[{""chinese"": ""今天天气很凉快。"", ""english"": ""The weather is quite cool today.""}, {""chinese"": ""他喝了杯凉水。"", ""english"": ""He drank a glass of cold water.""}, {""chinese"": ""她的态度让人感到凉。"", ""english"": ""Her attitude made people feel discouraged.""}]","[{""word"": ""凉快"", ""pinyin"": ""liángkuai"", ""meaning"": ""cool / pleasantly cool""}, {""word"": ""着凉"", ""pinyin"": ""zhàoliáng"", ""meaning"": ""to catch cold""}, {""word"": ""凉爽"", ""pinyin"": ""liángshuǎng"", ""meaning"": ""cool and refreshing""}]"
587,椅,椅,,yǐ,,,yi3,,,75,2,,chair | seat,"[{""chinese"": ""请把椅子拉过来。"", ""english"": ""Please pull the chair over here.""}, {""chinese"": ""他坐在木椅上休息。"", ""english"": ""He sat on the wooden chair to rest.""}, {""chinese"": ""这把椅子很舒服。"", ""english"": ""This chair is very comfortable.""}]","[{""word"": ""椅子"", ""pinyin"": ""yǐzi"", ""meaning"": ""chair""}, {""word"": ""轮椅"", ""pinyin"": ""lúnyǐ"", ""meaning"": ""wheelchair""}, {""word"": ""躺椅"", ""pinyin"": ""tǎngyǐ"", ""meaning"": ""lounge chair / reclining chair""}]"
588,脏,髒,臟,zàng,zāng,,zang4,zang1,,74,2,,dirty / filthy / organ / viscera,"[{""chinese"": ""你的手很脏，去洗一洗。"", ""english"": ""Your hands are very dirty; go wash them.""}, {""chinese"": ""医生检查了他的心脏。"", ""english"": ""The doctor examined his heart.""}, {""chinese"": ""这件衣服太脏了。"", ""english"": ""This piece of clothing is too dirty.""}]","[{""word"": ""心脏"", ""pinyin"": ""xīnzàng"", ""meaning"": ""heart""}, {""word"": ""肝脏"", ""pinyin"": ""gānzàng"", ""meaning"": ""liver""}, {""word"": ""脏话"", ""pinyin"": ""zànghuà"", ""meaning"": ""obscene language / profanity""}]"
589,晴,晴,,qíng,,,qing2,,,72,2,,clear / sunny / fine (weather),"[{""chinese"": ""明天会是晴天。"", ""english"": ""Tomorrow will be a sunny day.""}, {""chinese"": ""晴朗的天空很漂亮。"", ""english"": ""The clear sky is beautiful.""}, {""chinese"": ""天气预报说后天晴。"", ""english"": ""The weather forecast says it will be clear the day after tomorrow.""}]","[{""word"": ""晴天"", ""pinyin"": ""qīngtiān"", ""meaning"": ""sunny day""}, {""word"": ""晴朗"", ""pinyin"": ""qīngláng"", ""meaning"": ""clear / bright""}, {""word"": ""晴好"", ""pinyin"": ""qīnghǎo"", ""meaning"": ""clear and fine (weather)""}]"
590,堂,堂,,táng,,,tang2,,,32,2,,hall; large room; government office; court; (classifier for cousins),"[{""chinese"": ""这个大堂能容纳五百人。"", ""english"": ""This large hall can accommodate five hundred people.""}, {""chinese"": ""法官在法庭堂上宣读判决书。"", ""english"": ""The judge read the verdict in the courtroom.""}, {""chinese"": ""我们在教堂举行了婚礼。"", ""english"": ""We held our wedding ceremony in the church.""}]","[{""word"": ""大堂"", ""pinyin"": ""dàtáng"", ""meaning"": ""large hall; lobby""}, {""word"": ""教堂"", ""pinyin"": ""jiàotáng"", ""meaning"": ""church""}, {""word"": ""堂兄"", ""pinyin"": ""tángxiōng"", ""meaning"": ""male cousin (father's brother's son)""}]"
591,饱,飽,,bǎo,,,bao3,,,184,2,,full; satiated; to eat one's fill,"[{""chinese"": ""吃了两碗米饭后，我已经很饱了。"", ""english"": ""After eating two bowls of rice, I'm quite full.""}, {""chinese"": ""不要暴饮暴食，饱了就停下。"", ""english"": ""Don't overeat; stop when you're satisfied.""}, {""chinese"": ""她饱尝了人生的酸甜苦辣。"", ""english"": ""She has experienced all the ups and downs of life.""}]","[{""word"": ""吃饱"", ""pinyin"": ""chībǎo"", ""meaning"": ""to eat one's fill; to be full""}, {""word"": ""饱满"", ""pinyin"": ""bǎomǎn"", ""meaning"": ""full; rich; plump""}, {""word"": ""饱受"", ""pinyin"": ""bǎoshòu"", ""meaning"": ""to suffer greatly from; to endure much""}]"
592,秋,秋,,qiū,,,qiu1,,,115,2,,autumn; fall; year,"[{""chinese"": ""秋天树叶变红了。"", ""english"": ""In autumn, the leaves turn red.""}, {""chinese"": ""每年秋季我都喜欢去登山。"", ""english"": ""Every fall, I enjoy going hiking.""}, {""chinese"": ""已经是深秋了，天气转冷。"", ""english"": ""It's late autumn now and the weather is getting cold.""}]","[{""word"": ""秋天"", ""pinyin"": ""qiūtiān"", ""meaning"": ""autumn; fall""}, {""word"": ""秋季"", ""pinyin"": ""qiūjì"", ""meaning"": ""autumn season""}, {""word"": ""秋风"", ""pinyin"": ""qiūfēng"", ""meaning"": ""autumn breeze""}]"
593,护,護,,hù,,,hu4,,,64,2,,to protect; to defend; to guard; to shield,"[{""chinese"": ""母亲总是护着她的孩子。"", ""english"": ""A mother always protects her children.""}, {""chinese"": ""警察护送犯人到法庭。"", ""english"": ""The police escorted the suspect to court.""}, {""chinese"": ""这个组织致力于保护濒危物种。"", ""english"": ""This organization is dedicated to protecting endangered species.""}]","[{""word"": ""护士"", ""pinyin"": ""hùshi"", ""meaning"": ""nurse""}, {""word"": ""保护"", ""pinyin"": ""bǎohù"", ""meaning"": ""to protect; protection""}, {""word"": ""护照"", ""pinyin"": ""hùzhào"", ""meaning"": ""passport""}]"
594,印,印,,yìn,,,yin4,,,26,2,,to print; mark; seal; stamp; India,"[{""chinese"": ""请在合同上盖上你的印章。"", ""english"": ""Please stamp your seal on the contract.""}, {""chinese"": ""这个记忆给了我深刻的印象。"", ""english"": ""This memory made a deep impression on me.""}, {""chinese"": ""印刷厂每天印数千份报纸。"", ""english"": ""The printing factory prints thousands of newspapers daily.""}]","[{""word"": ""印象"", ""pinyin"": ""yìnxiàng"", ""meaning"": ""impression; memory""}, {""word"": ""印章"", ""pinyin"": ""yìnzhāng"", ""meaning"": ""seal; stamp""}, {""word"": ""印刷"", ""pinyin"": ""yìnshuā"", ""meaning"": ""to print; printing""}]"
595,筷,筷,,kuài,,,kuai4,,,118,2,,chopstick,"[{""chinese"": ""我弟弟还不会用筷子吃饭。"", ""english"": ""My younger brother still doesn't know how to eat with chopsticks.""}, {""chinese"": ""这双筷子是木头做的。"", ""english"": ""This pair of chopsticks is made of wood.""}, {""chinese"": ""服务员给我们拿了干净的筷子。"", ""english"": ""The waiter brought us clean chopsticks.""}]","[{""word"": ""筷子"", ""pinyin"": ""kuàizi"", ""meaning"": ""chopsticks""}, {""word"": ""竹筷"", ""pinyin"": ""zhúkuài"", ""meaning"": ""bamboo chopsticks""}, {""word"": ""一双筷"", ""pinyin"": ""yī shuāng kuài"", ""meaning"": ""a pair of chopsticks""}]"
596,饺,餃,,jiǎo,,,jiao3,,,184,2,,dumplings with meat filling,"[{""chinese"": ""春节我们通常吃饺子。"", ""english"": ""We usually eat dumplings during the Spring Festival.""}, {""chinese"": ""妈妈包的饺子特别好吃。"", ""english"": ""The dumplings my mother makes are especially delicious.""}, {""chinese"": ""这家餐厅的饺子馅很丰富。"", ""english"": ""This restaurant's dumplings have rich fillings.""}]","[{""word"": ""饺子"", ""pinyin"": ""jiǎozi"", ""meaning"": ""dumplings""}, {""word"": ""水饺"", ""pinyin"": ""shuǐjiǎo"", ""meaning"": ""boiled dumplings""}, {""word"": ""馅饺"", ""pinyin"": ""xiànjiǎo"", ""meaning"": ""filled dumplings""}]"
597,典,典,,diǎn,,,dian3,,,12,2,,law; canon; scripture; classic; documentation; ceremony,"[{""chinese"": ""我需要查一下词典里的这个词。"", ""english"": ""I need to check this word in the dictionary.""}, {""chinese"": ""这个故事是典型的民间传说。"", ""english"": ""This story is a typical folk legend.""}, {""chinese"": ""字典是学习语言的重要工具。"", ""english"": ""A dictionary is an important tool for learning a language.""}]","[{""word"": ""词典"", ""pinyin"": ""cídiǎn"", ""meaning"": ""dictionary""}, {""word"": ""字典"", ""pinyin"": ""zìdiǎn"", ""meaning"": ""character dictionary""}, {""word"": ""典范"", ""pinyin"": ""diǎnfàn"", ""meaning"": ""model; exemplar""}]"
598,板,板,闆,bǎn,,,ban3,,,75,2,,board; plank; plate; slab; rigid; stiff,"[{""chinese"": ""他每天都在公园里玩滑板。"", ""english"": ""He plays skateboard in the park every day.""}, {""chinese"": ""别摆出一副死板的脸，笑一笑吧。"", ""english"": ""Don't put on a rigid expression; smile a bit.""}, {""chinese"": ""地板上有一块脏东西。"", ""english"": ""There's a dirty spot on the floor.""}]","[{""word"": ""滑板"", ""pinyin"": ""huábǎn"", ""meaning"": ""skateboard""}, {""word"": ""地板"", ""pinyin"": ""dìbǎn"", ""meaning"": ""floor""}, {""word"": ""木板"", ""pinyin"": ""mùbǎn"", ""meaning"": ""wooden board; plank""}]"
599,王,王,,wáng,,,wang2,,,96,2,,king; ruler; royal; surname,"[{""chinese"": ""他因为能吃被朋友们称为大胃王。"", ""english"": ""He's called a big eater by his friends because he has a huge appetite.""}, {""chinese"": ""这个国王的统治非常残暴。"", ""english"": ""This king's rule was extremely brutal.""}, {""chinese"": ""王子会在明年继承王位。"", ""english"": ""The prince will inherit the throne next year.""}]","[{""word"": ""国王"", ""pinyin"": ""guóhuáng"", ""meaning"": ""king""}, {""word"": ""王子"", ""pinyin"": ""wángzǐ"", ""meaning"": ""prince""}, {""word"": ""王位"", ""pinyin"": ""wángwèi"", ""meaning"": ""throne""}]"
600,被,被,,bèi,pī,,bei4,pi1,,145,3,,quilt; bedding | to cover; to wrap | (passive voice particle) | to subjected to; to suffered,"[{""chinese"": ""我被他的话伤害了。"", ""english"": ""I was hurt by what he said.""}, {""chinese"": ""这件事被报道得很广泛。"", ""english"": ""This matter was widely reported.""}, {""chinese"": ""冬天我喜欢盖厚被子。"", ""english"": ""In winter I like to use a thick quilt.""}]","[{""word"": ""被动"", ""pinyin"": ""bèidòng"", ""meaning"": ""passive; inactive""}, {""word"": ""被子"", ""pinyin"": ""bèizi"", ""meaning"": ""quilt; bedding""}, {""word"": ""被迫"", ""pinyin"": ""bèipò"", ""meaning"": ""forced to; compelled to""}]"
601,把,把,,bǎ,bà,,ba3,ba4,,64,3,,to grasp; to hold; to take | handle; grip | (measure word for things with handles) | (particle introducing the object in the disposal construction),"[{""chinese"": ""把门关好，别让风进来。"", ""english"": ""Close the door properly so the wind doesn't come in.""}, {""chinese"": ""我把这个问题想了很久。"", ""english"": ""I thought about this problem for a long time.""}, {""chinese"": ""请把你的名字写在纸上。"", ""english"": ""Please write your name on the paper.""}]","[{""word"": ""把握"", ""pinyin"": ""bǎwoè"", ""meaning"": ""to grasp; to seize; certainty""}, {""word"": ""把手"", ""pinyin"": ""bǎshǒu"", ""meaning"": ""handle; grip""}, {""word"": ""把关"", ""pinyin"": ""bǎguān"", ""meaning"": ""to guard a gate; to control; to supervise""}]"
602,并,並,併,bìng,píng,,bing4,ping2,,51,3,,to combine; to unite; to merge | also; moreover; at the same time | (conjunction expressing emphasis in negative contexts),"[{""chinese"": ""他学习刻苦，并且成绩优秀。"", ""english"": ""He studies diligently and moreover has excellent grades.""}, {""chinese"": ""这个计划并未实施。"", ""english"": ""This plan was not implemented.""}, {""chinese"": ""两家公司决定并行合作。"", ""english"": ""The two companies decided to cooperate in parallel.""}]","[{""word"": ""并且"", ""pinyin"": ""bìngqiě"", ""meaning"": ""and; moreover; furthermore""}, {""word"": ""并肩"", ""pinyin"": ""bìngjiān"", ""meaning"": ""shoulder to shoulder; side by side""}, {""word"": ""并行"", ""pinyin"": ""bìngxíng"", ""meaning"": ""to run parallel; to go side by side""}]"
603,始,始,,shǐ,,,shi3,,,38,3,,to begin; to start; to commence | beginning; first time | original,"[{""chinese"": ""从今天开始，我要改掉这个坏习惯。"", ""english"": ""Starting today, I will break this bad habit.""}, {""chinese"": ""我始终相信他会成功。"", ""english"": ""I have always believed he will succeed.""}, {""chinese"": ""这场风暴始于昨晚。"", ""english"": ""This storm began last night.""}]","[{""word"": ""开始"", ""pinyin"": ""kāishǐ"", ""meaning"": ""to begin; to start""}, {""word"": ""始终"", ""pinyin"": ""shǐzhōng"", ""meaning"": ""all along; from beginning to end; always""}, {""word"": ""始祖"", ""pinyin"": ""shǐzǔ"", ""meaning"": ""ancestor; originator""}]"
604,极,極,,jí,,,ji2,,,75,3,,extreme; utmost; furthest | the utmost point; climax | pole | to reach the limit of; extremely,"[{""chinese"": ""他对这件事的态度很极端。"", ""english"": ""His attitude toward this matter is very extreme.""}, {""chinese"": ""这个地方的冬天冷得不得了。"", ""english"": ""The winter in this place is extremely cold.""}, {""chinese"": ""她极其聪明，每次考试都第一名。"", ""english"": ""She is exceptionally intelligent and always comes first in exams.""}]","[{""word"": ""极端"", ""pinyin"": ""jíduān"", ""meaning"": ""extreme; extremity""}, {""word"": ""北极"", ""pinyin"": ""běijí"", ""meaning"": ""North Pole""}, {""word"": ""极其"", ""pinyin"": ""jíqī"", ""meaning"": ""extremely; exceedingly""}]"
